--------------------------------------------------------------------------------
GSWAVELENGTH -- Thu Jan 30 11:49:45 CST 2020
 
inimages = gsS20180928S0014.fits
Calibrating extension: 1

AUTOIDENTIFY: NOAO/IRAF V2.16 mmarcano@tux Thu 11:49:46 30-Jan-2020
  Spectrum                 # Found   Midpoint Dispersion        RMS
  gsS20180928S0014_001[*,1044]         70    6572.41       -1.5      0.555
--------------------------------------------------------------------------------
GSWAVELENGTH -- Thu Jan 30 12:15:10 CST 2020
 
inimages = gsS20180928S0014.fits
Calibrating extension: 1

AUTOIDENTIFY: NOAO/IRAF V2.16 mmarcano@tux Thu 12:15:11 30-Jan-2020
  Spectrum                 # Found   Midpoint Dispersion        RMS
  gsS20180928S0014_001[*,1044]         70    6572.41       -1.5      0.555

REIDENTIFY: NOAO/IRAF V2.16 mmarcano@tux Thu 12:16:03 30-Jan-2020
  Reference image = gsS20180928S0014_001, New image = gsS20180928S0014_001, Refit = yes
          Image Data    Found     Fit Pix Shift  User Shift  Z Shift      RMS
gsS20180928S0014_001[*,84] 77/79   65/80     0.0596     -0.0753  -4.1E-5    0.616
gsS20180928S0014_001[*,74] 80/80   67/83     -0.302       0.439  9.57E-5      0.6
gsS20180928S0014_001[*,64] 82/83   70/84     -0.393       0.573  1.19E-4     0.62
gsS20180928S0014_001[*,54] 76/84   80/82       0.19      -0.275  -6.3E-5     3.39
gsS20180928S0014_001[*,44] 70/82   86/86       0.47      -0.707  -9.8E-5     6.35
gsS20180928S0014_001[*,34] 68/86   78/79     0.0175     -0.0219  -1.1E-5     6.78
gsS20180928S0014_001[*,24] 64/79   79/79     -0.251       0.382  4.30E-5     7.74
gsS20180928S0014_001[*,14] 66/79   85/85      0.585      -0.873  -1.3E-4     7.27
gsS20180928S0014_001[*,4] 18/85   21/21      -1.04        1.52  3.08E-4     8.77
    ** Too many features lost **
gsS20180928S0014_001[*,1054] 70/70   65/72     0.0783      -0.114  -2.5E-5    0.576
gsS20180928S0014_001[*,1064] 68/72   66/72    -0.0737       0.107  2.33E-5    0.525
gsS20180928S0014_001[*,1074] 69/72   63/73     0.0921      -0.134  -2.9E-5    0.422
gsS20180928S0014_001[*,1084] 71/73   62/72     -0.173        0.25  5.54E-5    0.431
gsS20180928S0014_001[*,1094] 67/72   65/73    -0.0953       0.137  3.36E-5    0.463
gsS20180928S0014_001[*,1104] 71/73   64/72      0.203      -0.295  -6.5E-5     0.42
gsS20180928S0014_001[*,1114] 72/72   65/73      0.066     -0.0946  -2.4E-5    0.521
gsS20180928S0014_001[*,1124] 69/73   66/73   -0.00307     0.00595  -2.3E-6    0.501
gsS20180928S0014_001[*,1134] 73/73   67/73    -0.0575      0.0828  2.00E-5    0.587
gsS20180928S0014_001[*,1144] 73/73   65/75      0.258      -0.373  -8.7E-5    0.435
gsS20180928S0014_001[*,1154] 70/75   65/72     0.0281     -0.0403  -9.8E-6    0.531
gsS20180928S0014_001[*,1164] 71/72   66/75     -0.156       0.226  5.15E-5    0.474
gsS20180928S0014_001[*,1174] 73/75   65/75      0.203      -0.294  -6.6E-5    0.502
gsS20180928S0014_001[*,1184] 73/75   65/74       0.23      -0.332  -7.6E-5    0.455
gsS20180928S0014_001[*,1194] 71/74   64/75     -0.081       0.118  2.44E-5    0.462
gsS20180928S0014_001[*,1204] 73/75   62/73    -0.0431       0.062  1.56E-5    0.383
gsS20180928S0014_001[*,1214] 71/73   65/75     -0.165       0.241  4.98E-5    0.398
gsS20180928S0014_001[*,1224] 73/75   69/78     0.0795      -0.113  -2.9E-5    0.595
gsS20180928S0014_001[*,1234] 73/78   63/74    -0.0837       0.121  2.76E-5    0.406
gsS20180928S0014_001[*,1244] 72/74   62/73     -0.104       0.151  3.32E-5    0.411
gsS20180928S0014_001[*,1254] 73/73   66/76     0.0103     -0.0134  -6.4E-6    0.452
gsS20180928S0014_001[*,1264] 71/76   62/71     0.0731      -0.106  -2.4E-5    0.395
gsS20180928S0014_001[*,1274] 69/71   66/73     -0.124       0.181  3.74E-5    0.549
gsS20180928S0014_001[*,1284] 71/73   67/73    -0.0547      0.0804  1.56E-5    0.517
gsS20180928S0014_001[*,1294] 71/73   64/72       0.15      -0.216  -5.1E-5    0.513
gsS20180928S0014_001[*,1304] 70/72   64/72    -0.0844       0.123  2.58E-5    0.526
gsS20180928S0014_001[*,1314] 72/72   67/77     0.0809      -0.116  -2.9E-5    0.488
gsS20180928S0014_001[*,1324] 71/77   62/71    -0.0548      0.0806  1.54E-5     0.37
gsS20180928S0014_001[*,1334] 70/71   66/73    -0.0403      0.0594  1.09E-5     0.58
gsS20180928S0014_001[*,1344] 72/73   68/76     -0.047      0.0706  1.01E-5    0.582
gsS20180928S0014_001[*,1354] 71/76   65/74      0.136      -0.196  -4.5E-5    0.524
gsS20180928S0014_001[*,1364] 71/74   65/75       0.31      -0.447  -1.1E-4    0.552
gsS20180928S0014_001[*,1374] 72/75   65/74    -0.0956        0.14  2.72E-5     0.55
gsS20180928S0014_001[*,1384] 71/74   62/71   -0.00745      0.0112  1.77E-6    0.511
gsS20180928S0014_001[*,1394] 71/71   63/73     -0.336       0.489  1.04E-4    0.404
gsS20180928S0014_001[*,1404] 69/73   64/72     -0.169       0.246  5.27E-5    0.553
gsS20180928S0014_001[*,1414] 71/72   65/74       0.12      -0.173  -4.2E-5      0.5
gsS20180928S0014_001[*,1424] 71/74   67/74     -0.295       0.425  9.98E-5    0.486
gsS20180928S0014_001[*,1434] 61/74   63/66      0.282      -0.419  -6.7E-5     2.81
gsS20180928S0014_001[*,1444] 55/66   64/65       -0.6        0.88  1.72E-4     3.44
gsS20180928S0014_001[*,1454] 60/65   63/74      0.217      -0.313  -7.3E-5    0.483
gsS20180928S0014_001[*,1464] 72/74   66/74       0.15      -0.216  -5.2E-5    0.554
gsS20180928S0014_001[*,1474] 71/74   69/74     0.0655     -0.0926  -2.6E-5    0.599
gsS20180928S0014_001[*,1484] 74/74   71/76    -0.0767       0.114  1.89E-5    0.876
gsS20180928S0014_001[*,1494] 71/76   64/72    -0.0446      0.0669  9.82E-6    0.514
gsS20180928S0014_001[*,1504] 71/72   67/75    -0.0544      0.0813  1.28E-5    0.546
gsS20180928S0014_001[*,1514] 73/75   69/75     -0.087       0.128  2.42E-5     0.54
gsS20180928S0014_001[*,1524] 73/75   64/75     -0.131       0.193  3.74E-5    0.418
gsS20180928S0014_001[*,1534] 73/75   64/75    -0.0832       0.123  2.17E-5    0.417
gsS20180928S0014_001[*,1544] 74/75   67/77   -4.99E-5     0.00158  -3.0E-6    0.597
gsS20180928S0014_001[*,1554] 72/77   69/75      0.065     -0.0907  -2.8E-5    0.576
gsS20180928S0014_001[*,1564] 72/75   67/76     0.0168      -0.022  -1.0E-5    0.499
gsS20180928S0014_001[*,1574] 72/76   69/77     -0.172       0.252  5.12E-5    0.593
gsS20180928S0014_001[*,1584] 72/77   68/76     -0.154       0.226  4.35E-5    0.615
gsS20180928S0014_001[*,1594] 75/76   68/76   -8.65E-4     0.00438  -5.8E-6     0.54
gsS20180928S0014_001[*,1604] 75/76   68/76    -0.0475      0.0717  9.61E-6    0.553
gsS20180928S0014_001[*,1614] 75/76   70/77     0.0627     -0.0873  -2.8E-5    0.583
gsS20180928S0014_001[*,1624] 77/77   69/78   -0.00904      0.0153  -1.5E-6    0.608
gsS20180928S0014_001[*,1634] 76/78   69/76     -0.252       0.367  7.76E-5    0.597
gsS20180928S0014_001[*,1644] 74/76   69/76    -0.0624      0.0945  1.17E-5    0.613
gsS20180928S0014_001[*,1654] 74/76   68/77     -0.128       0.186  3.76E-5    0.589
gsS20180928S0014_001[*,1664] 75/77   68/77     0.0363     -0.0488  -1.9E-5    0.605
gsS20180928S0014_001[*,1674] 75/77   68/77     -0.133       0.196  3.54E-5    0.562
gsS20180928S0014_001[*,1684] 77/77   70/77     -0.158       0.232  4.53E-5     0.57
gsS20180928S0014_001[*,1694] 76/77   68/78    -0.0145       0.024  -1.5E-6    0.562
gsS20180928S0014_001[*,1704] 74/78   69/76     0.0522      -0.073  -2.2E-5    0.548
gsS20180928S0014_001[*,1714] 73/76   69/77     -0.124       0.184  3.17E-5    0.561
gsS20180928S0014_001[*,1724] 75/77   66/75     -0.179       0.263  5.07E-5    0.446
gsS20180928S0014_001[*,1734] 74/75   68/76      -0.29       0.423  8.69E-5    0.567
gsS20180928S0014_001[*,1744] 74/76   70/77     -0.158       0.232  4.54E-5    0.572
gsS20180928S0014_001[*,1754] 72/77   69/74    8.52E-4     0.00293  -8.6E-6    0.529
gsS20180928S0014_001[*,1764] 72/74   69/75     -0.243       0.355  7.16E-5    0.582
gsS20180928S0014_001[*,1774] 71/75   67/77     0.0443     -0.0601  -2.2E-5    0.492
gsS20180928S0014_001[*,1784] 74/77   65/77     0.0992      -0.138  -4.3E-5    0.462
gsS20180928S0014_001[*,1794] 75/77   65/77     -0.151       0.222  4.30E-5    0.415
gsS20180928S0014_001[*,1804] 75/77   66/76     0.0159     -0.0183  -1.5E-5    0.503
gsS20180928S0014_001[*,1814] 75/76   65/77    0.00371    -0.00174  -8.2E-6     0.48
gsS20180928S0014_001[*,1824] 74/77   64/76     0.0578      -0.079  -2.8E-5    0.426
gsS20180928S0014_001[*,1834] 74/76   67/78       -0.3       0.439  8.87E-5    0.424
gsS20180928S0014_001[*,1844] 75/78   65/76     -0.116       0.171  2.94E-5    0.415
gsS20180928S0014_001[*,1854] 74/76   66/78      0.134      -0.189  -5.2E-5    0.407
gsS20180928S0014_001[*,1864] 76/78   66/78     -0.257       0.376  7.55E-5    0.426
gsS20180928S0014_001[*,1874] 77/78   67/78    -0.0431       0.067  4.58E-6     0.48
gsS20180928S0014_001[*,1884] 75/78   67/79     -0.109       0.162  2.62E-5    0.445
gsS20180928S0014_001[*,1894] 75/79   65/77       -0.2       0.294  5.65E-5    0.419
gsS20180928S0014_001[*,1904] 75/77   68/77     -0.241       0.353  6.91E-5    0.552
gsS20180928S0014_001[*,1914] 74/77   66/77     -0.151       0.222  4.13E-5    0.459
gsS20180928S0014_001[*,1924] 76/77   71/78     0.0476     -0.0636  -2.7E-5    0.586
gsS20180928S0014_001[*,1934] 76/78   66/76     -0.262       0.384  7.60E-5      0.5
gsS20180928S0014_001[*,1944] 76/76   66/77     -0.133       0.197  3.42E-5    0.521
gsS20180928S0014_001[*,1954] 76/77   66/78      -0.15       0.222  4.01E-5    0.404
gsS20180928S0014_001[*,1964] 76/78   68/79     -0.105       0.157  2.40E-5    0.442
gsS20180928S0014_001[*,1974] 74/79   65/76     -0.303       0.443  9.03E-5    0.479
gsS20180928S0014_001[*,1984] 72/76   65/77     -0.281       0.412  7.89E-5    0.488
gsS20180928S0014_001[*,1994] 72/77   65/76    -0.0477      0.0732  7.24E-6    0.505
gsS20180928S0014_001[*,2004] 73/76   70/75    -0.0146      0.0271  -7.1E-6    0.641
gsS20180928S0014_001[*,2014] 73/75   64/75    -0.0492      0.0771  4.31E-6    0.486
gsS20180928S0014_001[*,2024] 72/75   65/75     -0.114       0.171  2.65E-5    0.487
gsS20180928S0014_001[*,2034] 72/75   66/75    -0.0969       0.146  1.91E-5    0.493
gsS20180928S0014_001[*,2044] 72/75   65/75    -0.0718       0.108  1.39E-5    0.437
gsS20180928S0014_001[*,2054] 74/75   67/77   -0.00825      0.0187  -1.1E-5    0.487
gsS20180928S0014_001[*,2064] 73/77   66/75     0.0145     -0.0165  -1.4E-5     0.51
gsS20180928S0014_001[*,2074] 74/75   66/78     -0.174       0.257  4.52E-5    0.441
gsS20180928S0014_001[*,2084] 72/78   64/75    -0.0943       0.144  1.61E-5    0.449

NOAO/IRAF V2.16 mmarcano@tux Thu 12:16:09 30-Jan-2020
  Longslit coordinate fit name is gsS20180928S0014_001.
  Longslit database is database.
  Features from images:
    gsS20180928S0014_001
  Map User coordinates for axis 1 using image features:
